loss,accuracy,val_loss,val_accuracy,lr
1.4725271463394165,0.47783252596855164,0.5265730619430542,0.7916666865348816,0.0010000000474974513
1.1018195152282715,0.6009852290153503,0.2979043424129486,0.9166666865348816,0.0010000000474974513
0.8368427157402039,0.6995074152946472,0.5230011343955994,0.8333333134651184,0.0010000000474974513
0.7712832093238831,0.6847290396690369,0.2523093521595001,0.8333333134651184,0.0010000000474974513
0.7343440055847168,0.738916277885437,0.24619905650615692,0.875,0.0010000000474974513
0.5522813200950623,0.7832512259483337,0.23417909443378448,0.875,0.0010000000474974513
0.5182225704193115,0.7783251404762268,0.19467617571353912,0.9166666865348816,0.0010000000474974513
0.422440767288208,0.8275862336158752,0.4300987422466278,0.8333333134651184,0.0010000000474974513
0.5043522715568542,0.7635468244552612,0.20328019559383392,0.875,0.0010000000474974513
0.4478692412376404,0.8177340030670166,0.1856519728899002,0.875,0.0010000000474974513
0.4670686721801758,0.7980295419692993,0.27081525325775146,0.875,0.0010000000474974513
0.4781310260295868,0.7832512259483337,0.18620282411575317,0.875,0.0010000000474974513
0.4163432717323303,0.7931034564971924,0.25265249609947205,0.875,0.0010000000474974513
0.47988513112068176,0.802955687046051,0.3127444088459015,0.875,0.0010000000474974513
0.34107843041419983,0.8275862336158752,0.2217351645231247,0.875,0.0010000000474974513
0.41297292709350586,0.8325123190879822,0.19438020884990692,0.9166666865348816,0.0005000000237487257
0.3527359664440155,0.8325123190879822,0.24882285296916962,0.875,0.0005000000237487257
0.3008275032043457,0.8916256427764893,0.2448820322751999,0.875,0.0005000000237487257
0.28981703519821167,0.8620689511299133,0.32487961649894714,0.875,0.0005000000237487257
0.3577693700790405,0.8325123190879822,0.19778959453105927,0.9166666865348816,0.0005000000237487257
0.3366313874721527,0.8866994976997375,0.2056524008512497,0.875,0.0002500000118743628
